#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         233   -0.445012   -0.390475  0.00259659
         234   -0.422982   -0.390614   0.0025892
         235   -0.450059   -0.390867  0.00259051
         236   -0.507766   -0.391363  0.00262647
         237   -0.501907   -0.391829  0.00265648
         238   -0.461412   -0.392121  0.00266136
         239    -0.45328   -0.392377   0.0026625
         240   -0.381683   -0.392333  0.00265177
         241   -0.342088   -0.392124  0.00264895
         242   -0.377058   -0.392062  0.00263874
         243   -0.409386   -0.392133  0.00262884
         244   -0.429846   -0.392288  0.00262261
         245   -0.400871   -0.392323  0.00261214
         246   -0.392798   -0.392325  0.00260152
         247   -0.403708   -0.392371   0.0025914
         248     -0.4047   -0.392421  0.00258142
         249   -0.431434   -0.392577  0.00257581
         250   -0.400685    -0.39261  0.00256571
         251   -0.409618   -0.392677  0.00255638
         252     -0.4227   -0.392797  0.00254901
         253   -0.403475   -0.392839  0.00253929
         254   -0.385482    -0.39281  0.00252945
         255   -0.371733   -0.392727  0.00252088
         256   -0.382102   -0.392686  0.00251138
         257   -0.429838    -0.39283  0.00250576
         258   -0.405199   -0.392878  0.00249651
         259    -0.36604   -0.392775  0.00248902
         260   -0.395365   -0.392784  0.00247947
         261   -0.420785   -0.392892  0.00247229
         262   -0.417983   -0.392988  0.00246471
         263   -0.416296   -0.393076  0.00245693
         264   -0.455195   -0.393311  0.00245886
         265   -0.462854   -0.393574  0.00246355
         266   -0.383597   -0.393536  0.00245457
         267   -0.359145   -0.393408  0.00244876
         268    -0.34278   -0.393219  0.00244689
         269   -0.398777   -0.393239  0.00243789
         270   -0.412926   -0.393312  0.00242995
         271    -0.37178   -0.393233  0.00242228
         272   -0.418253   -0.393325  0.00241512
         273   -0.426995   -0.393448  0.00240942
         274   -0.380132   -0.393399  0.00240112
         275   -0.434911    -0.39355  0.00239712
         276   -0.443769   -0.393732  0.00239533
         277   -0.432407   -0.393872  0.00239075
         278    -0.46677   -0.394134  0.00239649
         279   -0.487121   -0.394468  0.00241097
         280   -0.478531   -0.394768  0.00242098
         281   -0.482463    -0.39508  0.00243239
         282   -0.537003   -0.395583  0.00247528
         283   -0.460452   -0.395812  0.00247713
         284   -0.469902   -0.396073   0.0024821
         285    -0.43541   -0.396211  0.00247723
         286   -0.415763    -0.39628  0.00246951
         287   -0.430193   -0.396398  0.00246373
         288    -0.44391   -0.396563  0.00246069
         289   -0.459759   -0.396781  0.00246188
         290   -0.448053   -0.396958  0.00245973
         291   -0.392557   -0.396943  0.00245132
         292   -0.367026   -0.396841  0.00244507
         293   -0.418317   -0.396914  0.00243782
         294   -0.414345   -0.396973  0.00243025
         295   -0.420968   -0.397055  0.00242337
         296   -0.418255   -0.397126  0.00241624
         297   -0.432548   -0.397245  0.00241105
         298   -0.362382   -0.397128   0.0024058
         299   -0.339145   -0.396935  0.00240555
         300   -0.362602    -0.39682  0.00240025
         301   -0.428127   -0.396924  0.00239453
         302   -0.412326   -0.396975  0.00238715
         303   -0.355256   -0.396837  0.00238324
         304   -0.376071   -0.396769  0.00237638
         305   -0.430396   -0.396879  0.00237114
         306     -0.3915   -0.396862  0.00236346
         307   -0.427324   -0.396961  0.00235784
         308   -0.449516   -0.397132  0.00235635
         309   -0.453421   -0.397314  0.00235576
         310   -0.356984   -0.397184  0.00235175
         311      -0.342   -0.397006  0.00235087
         312   -0.388093   -0.396978  0.00234351
         313    -0.39803   -0.396981  0.00233602
         314   -0.403294   -0.397001  0.00232867
         315   -0.427679   -0.397099  0.00232331
         316   -0.427492   -0.397195  0.00231795
         317   -0.404383   -0.397217  0.00231075
         318   -0.410136   -0.397258  0.00230384
         319   -0.407451    -0.39729  0.00229684
         320   -0.351175   -0.397146  0.00229418
         321   -0.350214      -0.397  0.00229169
         322   -0.389573   -0.396977  0.00228468
         323   -0.369957   -0.396893  0.00227914
         324   -0.401878   -0.396908  0.00227216
         325   -0.427327   -0.397002  0.00226709
         326   -0.424015   -0.397085  0.00226165
         327   -0.375158   -0.397018  0.00225573
         328   -0.378688   -0.396962  0.00224955
         329   -0.388048   -0.396935  0.00224287
         330    -0.38771   -0.396907  0.00223625
         331     -0.4295   -0.397005  0.00223166
         332   -0.376283   -0.396943  0.00222581
         333   -0.349467     -0.3968  0.00222369
         334   -0.409165   -0.396837  0.00221734
         335   -0.421773   -0.396912  0.00221197
         336     -0.3886   -0.396887  0.00220552
         337   -0.364916   -0.396792  0.00220102
         338   -0.386889   -0.396763   0.0021947
         339    -0.33501   -0.396581  0.00219578
         340   -0.345988   -0.396432  0.00219435
         341   -0.348865   -0.396292  0.00219235
         342   -0.356312   -0.396175  0.00218905
         343     -0.4425   -0.396311  0.00218683
         344   -0.419177   -0.396377  0.00218148
         345    -0.39318   -0.396368  0.00217518
         346   -0.380897   -0.396323  0.00216935
         347   -0.355933   -0.396207  0.00216622
         348    -0.37695   -0.396151   0.0021607
         349   -0.394666   -0.396147  0.00215452
         350   -0.362457   -0.396051  0.00215051
         351   -0.368375   -0.395972  0.00214583
         352    -0.33899    -0.39581  0.00214583
         353    -0.34517   -0.395667  0.00214454
         354   -0.380507   -0.395624  0.00213891
         355   -0.414885   -0.395678  0.00213357
         356   -0.409411   -0.395717  0.00212793
         357   -0.368711   -0.395641  0.00212331
         358   -0.375378   -0.395584  0.00211814
         359   -0.373899   -0.395524   0.0021131
         360   -0.357466   -0.395418  0.00210987
         361     -0.4217   -0.395491  0.00210528
         362   -0.388326   -0.395471  0.00209956
         363   -0.392538   -0.395463  0.00209379
         364   -0.412114   -0.395509  0.00208854
         365   -0.405982   -0.395538  0.00208301
         366   -0.413348   -0.395586  0.00207789
         367   -0.408826   -0.395622  0.00207254
         368   -0.434022   -0.395727  0.00206953
         369    -0.41713   -0.395785  0.00206474
         370   -0.382054   -0.395748  0.00205949
         371   -0.387181   -0.395724  0.00205407
         372   -0.389416   -0.395708  0.00204862
