#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         253    -3.98788    -3.88264  0.00560925
         254    -3.85858    -3.88255  0.00558797
         255    -4.05517    -3.88322  0.00560691
         256    -3.90605    -3.88331  0.00558571
         257    -4.02616    -3.88387  0.00559157
         258    -3.91042    -3.88397  0.00557084
         259    -4.07103    -3.88469  0.00559595
         260    -3.97181    -3.88503  0.00558445
         261    -3.85254    -3.88491  0.00556444
         262    -3.94517    -3.88514  0.00554796
         263    -3.80687    -3.88484  0.00553484
         264    -3.96974    -3.88516  0.00552321
         265    -3.88878    -3.88517  0.00550238
         266    -3.90783    -3.88526  0.00548236
         267    -3.88202    -3.88525  0.00546184
         268     -3.8235    -3.88502  0.00544631
         269    -3.96841    -3.88533  0.00543488
         270    -3.99592    -3.88574  0.00543017
         271    -3.83601    -3.88555  0.00541323
         272    -3.82198    -3.88532  0.00539837
         273    -3.94705    -3.88554  0.00538333
         274    -3.93955    -3.88574  0.00536729
         275    -3.96185    -3.88602   0.0053549
         276    -3.74854    -3.88552  0.00535862
         277    -3.91255    -3.88562  0.00534016
         278    -3.95812    -3.88588  0.00532732
         279    -3.75618    -3.88541  0.00532847
         280    -3.87678    -3.88538  0.00530953
         281    -3.81146    -3.88512  0.00529714
         282    -3.88003     -3.8851  0.00527839
         283    -3.84009    -3.88494  0.00526214
         284    -3.97159    -3.88525  0.00525244
         285    -3.97406    -3.88556  0.00524325
         286    -3.93269    -3.88572  0.00522751
         287    -3.79521    -3.88541   0.0052188
         288    -3.86022    -3.88532  0.00520141
         289    -3.90937     -3.8854  0.00518408
         290    -3.79509    -3.88509  0.00517554
         291    -3.87178    -3.88505  0.00515796
         292    -3.87578    -3.88502   0.0051404
         293    -3.84186    -3.88487  0.00512496
         294    -3.87701    -3.88484   0.0051076
         295    -3.92184    -3.88497  0.00509182
         296    -3.91782    -3.88508  0.00507583
         297    -3.71679    -3.88451  0.00509027
         298    -3.76932    -3.88412  0.00508785
         299     -3.8342    -3.88396  0.00507357
         300    -3.68997    -3.88331   0.0050977
         301    -3.69064    -3.88267  0.00512079
         302    -3.76352    -3.88228  0.00511901
         303    -3.89603    -3.88232  0.00510232
         304    -3.87631     -3.8823  0.00508557
         305    -3.94433    -3.88251  0.00507296
         306    -3.84899     -3.8824  0.00505757
