#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         354    -134.271    -134.324   0.0242443
         355     -134.12    -134.323   0.0241828
         356    -134.112    -134.323   0.0241221
         357    -134.736    -134.324   0.0240824
         358    -134.515    -134.324    0.024021
         359    -134.481    -134.325   0.0239581
         360    -133.894    -134.323   0.0239214
         361    -134.653    -134.324   0.0238726
         362    -134.735    -134.325   0.0238335
         363    -134.989    -134.327   0.0238378
         364    -134.921    -134.329   0.0238281
         365    -133.977    -134.328   0.0237823
         366    -134.283    -134.328   0.0237176
         367     -134.95     -134.33   0.0237135
         368     -134.68    -134.331   0.0236682
         369    -134.342    -134.331   0.0236041
         370    -133.984     -134.33   0.0235589
         371    -134.988    -134.331   0.0235622
         372    -133.747     -134.33   0.0235511
         373    -134.777    -134.331   0.0235184
         374     -134.44    -134.331   0.0234573
         375    -133.923     -134.33     0.02342
         376    -134.187     -134.33   0.0233608
         377    -134.358     -134.33    0.023299
         378    -133.876    -134.329   0.0232683
         379    -134.438    -134.329   0.0232087
         380    -135.023    -134.331   0.0232192
         381    -135.018    -134.333   0.0232283
         382    -134.081    -134.332   0.0231768
         383    -134.641    -134.333   0.0231303
         384    -133.988    -134.332   0.0230875
         385    -134.264    -134.332   0.0230282
         386    -134.318    -134.332   0.0229685
         387    -134.581    -134.332   0.0229183
         388    -134.747    -134.333   0.0228841
         389    -134.815    -134.335   0.0228587
         390    -134.506    -134.335   0.0228043
         391    -134.934    -134.337   0.0227975
         392    -133.917    -134.336   0.0227644
         393    -134.485    -134.336   0.0227097
         394    -135.168    -134.338     0.02275
         395    -133.947    -134.337    0.022714
         396    -133.586    -134.335   0.0227356
         397    -134.317    -134.335   0.0226784
         398    -133.235    -134.332   0.0227892
         399    -134.286    -134.332   0.0227324
         400    -134.312    -134.332   0.0226756
         401    -134.986    -134.334   0.0226776
         402     -134.87    -134.335   0.0226603
         403    -134.781    -134.336   0.0226312
         404    -133.541    -134.334   0.0226606
         405     -135.44    -134.337   0.0227685
         406    -133.884    -134.336   0.0227397
         407    -134.849    -134.337   0.0227189
         408    -134.808    -134.338   0.0226925
         409    -134.232    -134.338   0.0226385
         410    -134.018    -134.337   0.0225968
         411    -134.642    -134.338    0.022554
         412    -133.944    -134.337   0.0225195
         413    -134.299    -134.337   0.0224651
         414    -134.187    -134.337   0.0224138
         415    -134.653    -134.337   0.0223728
         416    -134.509    -134.338   0.0223228
         417    -134.468    -134.338   0.0222714
         418    -133.498    -134.336   0.0223087
         419    -134.562    -134.337   0.0222619
