#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         323    -179.602    -179.282   0.0193867
         324    -180.264    -179.285   0.0195622
         325    -179.127    -179.284    0.019508
         326    -179.214    -179.284   0.0194494
         327    -179.562    -179.285   0.0194085
         328    -179.538    -179.286   0.0193646
         329    -179.608    -179.287   0.0193305
         330    -178.885    -179.286   0.0193103
         331    -179.385    -179.286   0.0192542
         332    -179.434    -179.286   0.0192015
         333    -179.637    -179.287   0.0191727
         334    -179.145    -179.287     0.01912
         335    -179.749    -179.288   0.0191127
         336    -179.516    -179.289   0.0190679
         337    -179.505     -179.29   0.0190221
         338    -178.934    -179.289   0.0189949
         339    -179.386    -179.289    0.018941
         340    -179.368    -179.289   0.0188868
         341    -179.235    -179.289   0.0188321
         342    -179.133    -179.288   0.0187825
         343    -178.683    -179.287   0.0188107
         344    -179.561    -179.288   0.0187729
         345    -179.726    -179.289   0.0187614
         346    -179.091    -179.288   0.0187159
         347    -179.483    -179.289   0.0186703
         348    -179.033    -179.288   0.0186311
         349    -179.431    -179.288   0.0185822
         350    -179.594    -179.289   0.0185496
         351    -179.016    -179.289    0.018513
         352    -178.655    -179.287   0.0185476
         353    -179.488    -179.287   0.0185038
         354    -179.507    -179.288   0.0184619
         355    -179.009    -179.287   0.0184267
         356    -179.242    -179.287   0.0183753
         357    -179.589    -179.288   0.0183432
         358    -179.167    -179.288   0.0182951
         359    -179.455    -179.288   0.0182501
         360    -179.009    -179.287   0.0182159
         361    -178.732    -179.286   0.0182303
         362    -179.834    -179.287   0.0182428
         363    -179.655    -179.288   0.0182206
         364    -179.102    -179.288   0.0181778
         365    -178.952    -179.287   0.0181512
         366    -179.301    -179.287   0.0181016
         367    -178.948    -179.286   0.0180759
         368     -179.04    -179.285   0.0180391
         369    -179.458    -179.286   0.0179962
         370    -178.892    -179.285   0.0179791
         371    -179.295    -179.285   0.0179306
         372    -179.771    -179.286     0.01793
         373    -178.619    -179.284   0.0179708
         374    -180.163    -179.287   0.0180757
         375    -179.281    -179.287   0.0180275
         376     -179.32    -179.287   0.0179798
         377    -179.666    -179.288   0.0179603
         378    -179.182    -179.287   0.0179149
         379    -179.215    -179.287   0.0178687
         380    -178.942    -179.286   0.0178447
         381     -179.24    -179.286   0.0177983
         382    -179.011    -179.285   0.0177663
         383    -178.881    -179.284   0.0177512
         384    -179.258    -179.284   0.0177051
         385    -178.379    -179.282   0.0178147
         386    -179.675    -179.283   0.0177975
         387    -179.062    -179.282   0.0177607
         388    -179.084    -179.282   0.0177223
         389    -179.588    -179.283   0.0176942
         390    -179.101    -179.282    0.017655
         391    -179.339    -179.282   0.0176104
         392    -178.871    -179.281   0.0175967
         393    -179.193    -179.281   0.0175534
         394    -179.197    -179.281   0.0175102
         395    -179.441    -179.281   0.0174705
         396    -178.511    -179.279   0.0175342
         397    -179.752     -179.28   0.0175304
         398    -179.475    -179.281   0.0174932
         399    -179.447    -179.281   0.0174543
         400    -179.015    -179.281   0.0174234
         401    -179.706    -179.282   0.0174121
         402     -179.68    -179.283   0.0173969
         403    -178.956    -179.282   0.0173727
         404    -178.709    -179.281   0.0173875
         405    -179.708    -179.282   0.0173766
         406      -179.3    -179.282   0.0173339
         407    -179.252    -179.282   0.0172914
         408    -179.455    -179.282   0.0172543
         409    -179.588    -179.283   0.0172283
         410    -178.846    -179.282   0.0172192
         411    -179.297    -179.282   0.0171773
         412     -178.71     -179.28   0.0171917
         413    -179.243     -179.28   0.0171503
         414    -180.137    -179.282   0.0172332
         415    -179.324    -179.282    0.017192
         416     -179.35    -179.283   0.0171514
         417    -179.773    -179.284   0.0171506
         418    -179.046    -179.283    0.017119
         419    -178.945    -179.282   0.0170972
         420     -179.23    -179.282    0.017057
         421      -179.6    -179.283   0.0170331
         422     -179.51    -179.284   0.0170012
         423      -179.5    -179.284   0.0169687
         424    -178.756    -179.283   0.0169744
         425    -179.353    -179.283   0.0169352
         426    -179.197    -179.283   0.0168967
         427    -179.083    -179.282   0.0168636
         428     -179.63    -179.283   0.0168437
         429    -179.309    -179.283   0.0168046
         430    -179.255    -179.283   0.0167656
         431    -179.353    -179.283   0.0167275
         432    -178.819    -179.282   0.0167232
         433    -179.684    -179.283   0.0167103
