#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         263     2.20313     2.20079  0.00872332
         264     2.45456     2.20175  0.00874308
         265      2.3667     2.20238  0.00873221
         266     2.30474     2.20276  0.00870786
         267     2.43122     2.20362  0.00871719
         268     2.25133      2.2038  0.00868648
         269     2.19585     2.20377  0.00865424
         270     1.89703     2.20263  0.00869643
         271     2.18331     2.20256  0.00866463
         272     2.12371     2.20227  0.00863762
         273     2.23418     2.20239  0.00860678
         274     2.17079     2.20227  0.00857614
         275     1.92946     2.20128  0.00860214
         276     1.97593     2.20046  0.00860963
         277     2.17955     2.20039  0.00857888
         278     2.21586     2.20044   0.0085482
         279     2.26501     2.20067   0.0085207
         280     2.29341       2.201   0.0084967
         281     2.46705     2.20195  0.00851905
         282     2.15881      2.2018  0.00849021
         283     2.32646     2.20224  0.00847163
         284     2.27986     2.20251  0.00844621
         285     1.92003     2.20152  0.00847453
         286      1.9267     2.20056   0.0084992
         287     2.05573     2.20006  0.00848456
         288     2.12492     2.19979  0.00845911
         289     2.31857     2.20021  0.00843981
         290     2.26575     2.20043  0.00841374
         291     2.02359     2.19982  0.00840674
         292     2.07656      2.1994  0.00838854
         293     2.13001     2.19916  0.00836325
         294      2.0551     2.19867  0.00834915
         295     2.34438     2.19917  0.00833544
         296     2.06488     2.19871  0.00831962
         297     2.02876     2.19814  0.00831127
         298     2.12015     2.19788   0.0082875
         299     2.26597     2.19811  0.00826291
         300     2.29668     2.19844  0.00824189
         301     2.13753     2.19823    0.008217
         302     2.14344     2.19805  0.00819179
         303     1.77909     2.19667  0.00828063
         304      2.1826     2.19662  0.00825352
         305     2.12174     2.19638  0.00823011
         306     2.31109     2.19675  0.00821175
         307     2.10235     2.19645  0.00819075
         308     2.13248     2.19624  0.00816679
         309     2.10721     2.19595  0.00814545
         310     2.06052     2.19551  0.00813088
         311     2.17468     2.19545  0.00810501
         312     2.37185     2.19601  0.00809873
         313     2.43024     2.19676  0.00810735
         314     2.27635     2.19701   0.0080855
         315     2.26508     2.19723  0.00806272
         316     2.32612     2.19764  0.00804751
         317     2.16644     2.19754  0.00802273
         318     2.32916     2.19795  0.00800817
         319     2.19745     2.19795  0.00798306
         320     1.97528     2.19726  0.00798839
         321     2.18568     2.19722  0.00796358
         322     2.10257     2.19693  0.00794427
         323     2.32448     2.19732  0.00792949
         324     2.26696     2.19754  0.00790793
         325      2.0734     2.19715  0.00789281
         326     2.06839     2.19676  0.00787848
         327     2.23625     2.19688  0.00785531
         328     2.42233     2.19757  0.00786138
         329     2.09859     2.19727  0.00784323
         330     2.25298     2.19743  0.00782128
         331     2.15995     2.19732  0.00779847
         332     2.25427     2.19749  0.00777687
         333     2.43374      2.1982  0.00778581
         334     2.12901       2.198  0.00776526
         335     2.38064     2.19854  0.00776119
         336     2.11912      2.1983  0.00774169
         337     1.97496     2.19764  0.00774704
         338     2.18135     2.19759  0.00772427
         339     1.95821     2.19689  0.00773369
         340     2.39522     2.19747  0.00773291
         341     2.24401     2.19761  0.00771144
         342     2.22847      2.1977  0.00768942
         343     2.18425     2.19766   0.0076671
         344     1.99961     2.19708   0.0076664
         345      2.4356     2.19777  0.00767529
         346     2.24379     2.19791  0.00765425
         347     1.77161     2.19668  0.00773016
         348     1.93877     2.19594  0.00774339
         349     2.12695     2.19574  0.00772372
         350     2.20613     2.19577  0.00770171
         351     2.18327     2.19573  0.00767985
         352     2.30859     2.19605  0.00766473
         353     1.99942      2.1955  0.00766323
         354      2.4676     2.19627  0.00768003
         355     2.47533     2.19705  0.00769852
         356     2.27103     2.19726   0.0076797
         357     2.01526     2.19675  0.00767509
         358     2.07037      2.1964  0.00766177
         359     2.27607     2.19662  0.00764364
         360     2.33506       2.197  0.00763208
         361     2.33519     2.19739  0.00762053
         362     2.43995     2.19806  0.00762888
         363     2.27556     2.19827  0.00761085
         364     2.44714     2.19895  0.00762059
         365     2.23219     2.19904  0.00760025
         366     1.90506     2.19824  0.00762182
         367     1.91316     2.19746  0.00764053
         368     2.37729     2.19795  0.00763538
         369     2.11132     2.19772   0.0076183
         370     1.94879     2.19705  0.00762735
         371       2.104     2.19679  0.00761092
         372     2.14977     2.19667  0.00759151
         373      1.9897     2.19611  0.00759141
         374     2.09548     2.19584  0.00757588
         375     2.21094     2.19588  0.00755578
         376     2.31886     2.19621  0.00754276
