#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         236     1.68911     1.66495   0.0017869
         237     1.69546     1.66508  0.00178399
         238     1.65422     1.66503  0.00177708
         239     1.63291      1.6649  0.00177472
         240     1.65164     1.66484  0.00176818
         241     1.69298     1.66496   0.0017647
         242     1.63635     1.66484  0.00176136
         243     1.66138     1.66483  0.00175417
         244     1.63968     1.66472     0.00175
         245     1.64986     1.66466  0.00174391
         246     1.68468     1.66474  0.00173872
         247     1.65052     1.66469  0.00173264
         248     1.66822      1.6647  0.00172571
         249     1.63839      1.6646  0.00172201
         250     1.68467     1.66468  0.00171699
         251      1.7091     1.66485  0.00171925
         252      1.6242     1.66469  0.00171998
         253     1.67695     1.66474  0.00171386
         254     1.64874     1.66468  0.00170827
         255     1.66081     1.66466  0.00170164
         256     1.62985     1.66453  0.00170042
         257     1.69182     1.66463  0.00169711
         258     1.64743     1.66457  0.00169184
         259      1.6207      1.6644  0.00169377
         260     1.65983     1.66438  0.00168734
         261     1.67634     1.66442   0.0016815
         262     1.65355     1.66438   0.0016756
         263     1.67652     1.66443  0.00166986
         264     1.64449     1.66435  0.00166524
         265       1.631     1.66423  0.00166371
         266     1.66411     1.66423  0.00165745
         267     1.62729     1.66409  0.00165701
         268     1.66294     1.66408  0.00165083
         269     1.66268     1.66408  0.00164471
         270     1.72476      1.6643   0.0016539
         271     1.65815     1.66428  0.00164795
         272     1.66887      1.6643  0.00164198
         273      1.6613     1.66429    0.001636
         274     1.65234     1.66424  0.00163061
         275     1.70166     1.66438  0.00163035
         276       1.704     1.66452  0.00163075
         277     1.68054     1.66458  0.00162589
         278     1.65099     1.66453  0.00162077
         279     1.63253     1.66442  0.00161902
         280     1.64695     1.66436  0.00161444
         281     1.59948     1.66412  0.00162512
         282     1.69279     1.66423  0.00162253
         283     1.67033     1.66425  0.00161694
         284     1.65466     1.66421   0.0016116
         285     1.72841     1.66444  0.00162161
         286     1.71774     1.66463  0.00162662
         287     1.68211     1.66469  0.00162209
         288     1.67137     1.66471  0.00161662
         289     1.62509     1.66457  0.00161683
         290     1.65816     1.66455  0.00161141
         291     1.66808     1.66456  0.00160592
         292     1.69237     1.66466  0.00160324
         293     1.67139     1.66468  0.00159793
         294     1.69394     1.66478  0.00159559
         295      1.6426      1.6647  0.00159195
         296     1.68569     1.66478  0.00158815
         297     1.69381     1.66487  0.00158581
         298      1.6825     1.66493  0.00158159
         299     1.63156     1.66482  0.00158024
         300     1.63863     1.66473  0.00157738
         301     1.67263     1.66476  0.00157236
         302      1.6702     1.66478  0.00156725
         303     1.73093       1.665  0.00157722
         304     1.64884     1.66494  0.00157292
         305     1.72429     1.66514  0.00157976
         306     1.67351     1.66517  0.00157483
         307     1.68565     1.66523  0.00157112
         308     1.66107     1.66522  0.00156607
         309     1.67873     1.66526  0.00156161
         310      1.6885     1.66534  0.00155837
         311      1.6678     1.66534  0.00155338
         312     1.64278     1.66527  0.00155009
         313     1.63929     1.66519  0.00154736
         314      1.6593     1.66517  0.00154254
         315      1.6646     1.66517  0.00153765
         316     1.64315      1.6651  0.00153436
         317     1.64924     1.66505  0.00153033
         318      1.6539     1.66501  0.00152592
         319     1.65463     1.66498  0.00152149
         320     1.70845     1.66512  0.00152278
         321     1.66857     1.66513  0.00151808
         322     1.68572     1.66519  0.00151471
         323      1.6289     1.66508  0.00151418
         324     1.66265     1.66507  0.00150953
         325     1.68375     1.66513  0.00150598
         326     1.68401     1.66519  0.00150247
         327     1.65344     1.66515   0.0014983
         328     1.62951     1.66504  0.00149767
         329      1.6843      1.6651  0.00149426
         330     1.63905     1.66502  0.00149182
         331     1.65042     1.66498  0.00148796
         332     1.62128     1.66485  0.00148929
         333     1.61422      1.6647  0.00149256
         334     1.68332     1.66475  0.00148913
         335     1.61385      1.6646  0.00149242
         336     1.67364     1.66463  0.00148822
         337     1.69325     1.66471  0.00148623
         338     1.65822     1.66469  0.00148195
         339     1.70676     1.66482  0.00148277
         340     1.65298     1.66478  0.00147882
         341     1.65074     1.66474  0.00147505
         342     1.65195      1.6647  0.00147121
         343     1.65811     1.66468  0.00146705
         344     1.70925     1.66481  0.00146849
         345     1.65488     1.66478  0.00146452
         346     1.65626     1.66476  0.00146049
         347     1.74349     1.66499   0.0014738
         348     1.71848     1.66514  0.00147756
         349     1.64105     1.66507  0.00147494
         350     1.65344     1.66504   0.0014711
         351     1.68173     1.66509  0.00146768
         352     1.67379     1.66511  0.00146372
         353     1.73396      1.6653  0.00147251
         354     1.63005     1.66521  0.00147171
         355     1.61643     1.66507  0.00147397
         356     1.63891     1.66499  0.00147166
         357      1.7032      1.6651  0.00147142
         358     1.68485     1.66516  0.00146834
         359     1.68876     1.66522  0.00146573
         360     1.62628     1.66511  0.00146564
         361     1.65555     1.66509  0.00146182
         362     1.64044     1.66502  0.00145937
         363     1.65972       1.665  0.00145542
         364     1.68068     1.66505  0.00145206
         365     1.63964     1.66498  0.00144975
         366     1.70606     1.66509  0.00145013
         367     1.71157     1.66522  0.00145169
         368     1.63297     1.66513  0.00145039
         369      1.6747     1.66516  0.00144669
         370     1.69373     1.66523  0.00144484
         371     1.66996     1.66525    0.001441
         372     1.65858     1.66523  0.00143724
         373     1.67823     1.66526  0.00143381
         374     1.66659     1.66527  0.00142998
         375     1.65879     1.66525  0.00142627
         376      1.6516     1.66521  0.00142294
         377     1.63205     1.66512  0.00142188
         378     1.69928     1.66521  0.00142099
         379     1.67271     1.66523  0.00141738
         380     1.62531     1.66513  0.00141754
         381     1.63312     1.66505   0.0014163
         382     1.68887     1.66511  0.00141397
         383     1.68493     1.66516  0.00141122
         384     1.63238     1.66507  0.00141013
         385     1.69257     1.66515  0.00140827
         386     1.68867     1.66521  0.00140594
         387     1.67217     1.66522  0.00140242
         388     1.71571     1.66535  0.00140483
         389     1.66601     1.66536  0.00140122
         390     1.65712     1.66534  0.00139779
         391     1.65131      1.6653  0.00139467
         392     1.66776     1.66531  0.00139113
         393     1.68306     1.66535  0.00138832
         394     1.67564     1.66538  0.00138504
         395     1.68948     1.66544  0.00138288
         396     1.64786     1.66539   0.0013801
         397     1.69784     1.66548  0.00137904
         398     1.67768     1.66551  0.00137592
         399     1.69769     1.66559  0.00137483
         400     1.64923     1.66555    0.001372
         401     1.64843      1.6655  0.00136925
         402     1.62989     1.66541   0.0013687
         403     1.67924     1.66545  0.00136574
         404     1.68259     1.66549  0.00136301
         405     1.65206     1.66546  0.00136005
         406     1.70461     1.66555  0.00136012
         407     1.62431     1.66545  0.00136055
         408     1.69031     1.66551  0.00135857
         409     1.68183     1.66555  0.00135584
         410     1.66438     1.66555  0.00135253
         411     1.63804     1.66548   0.0013509
         412     1.66732     1.66549  0.00134763
         413     1.65567     1.66546  0.00134457
         414     1.60157     1.66531  0.00135015
         415     1.63721     1.66524   0.0013486
         416      1.6423     1.66519  0.00134648
         417     1.60714     1.66505  0.00135043
         418     1.66165     1.66504  0.00134722
         419     1.64638       1.665  0.00134474
         420     1.64449     1.66495  0.00134243
         421     1.67527     1.66497  0.00133946
         422     1.66689     1.66498   0.0013363
         423     1.65534     1.66495  0.00133333
         424     1.68462       1.665  0.00133099
         425     1.67924     1.66503  0.00132828
         426     1.68908     1.66509  0.00132637
         427      1.6445     1.66504  0.00132414
         428      1.6334     1.66497   0.0013231
         429     1.68101       1.665  0.00132055
         430      1.6928     1.66507  0.00131906
         431     1.65043     1.66504  0.00131643
         432     1.66226     1.66503   0.0013134
         433     1.66121     1.66502   0.0013104
         434     1.69873      1.6651  0.00130968
         435     1.65896     1.66508  0.00130674
         436     1.67082      1.6651  0.00130381
         437     1.67644     1.66512  0.00130109
         438     1.63851     1.66506  0.00129954
         439     1.67638     1.66509  0.00129683
         440     1.67172      1.6651  0.00129397
         441     1.64569     1.66506  0.00129179
         442     1.64105       1.665     0.00129
         443     1.61766      1.6649  0.00129151
         444     1.69899     1.66497  0.00129088
         445     1.61656     1.66487  0.00129256
         446     1.73337     1.66502  0.00129876
         447     1.63923     1.66496  0.00129713
         448     1.67749     1.66499  0.00129454
         449     1.67554     1.66501  0.00129187
         450     1.69347     1.66508  0.00129054
         451     1.67173     1.66509  0.00128776
         452     1.68527     1.66514  0.00128569
         453     1.70422     1.66522  0.00128574
         454     1.67252     1.66524  0.00128301
         455     1.70197     1.66532  0.00128273
