#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         287     1.12141     1.10979  0.00108139
         288     1.11425     1.10981  0.00107775
         289     1.08339     1.10971  0.00107789
         290     1.10544      1.1097  0.00107427
         291     1.11205     1.10971  0.00107061
         292     1.12824     1.10977  0.00106883
         293     1.11426     1.10979  0.00106529
         294     1.12929     1.10985  0.00106373
         295     1.09507      1.1098   0.0010613
         296     1.12379     1.10985  0.00105877
         297     1.12921     1.10992  0.00105721
         298     1.12167     1.10996   0.0010544
         299     1.08771     1.10988  0.00105349
         300     1.09242     1.10982  0.00105159
         301     1.11509     1.10984  0.00104824
         302     1.11346     1.10985  0.00104484
         303     1.15396        1.11  0.00105148
         304     1.09922     1.10996  0.00104862
         305     1.14953     1.11009  0.00105317
         306     1.11567     1.11011  0.00104989
         307     1.12377     1.11015  0.00104741
         308     1.10738     1.11015  0.00104405
         309     1.11915     1.11017  0.00104108
         310     1.12567     1.11022  0.00103892
         311     1.11187     1.11023  0.00103559
         312     1.09518     1.11018  0.00103339
         313     1.09286     1.11013  0.00103157
         314      1.1062     1.11011  0.00102836
         315     1.10973     1.11011   0.0010251
         316     1.09544     1.11007  0.00102291
         317      1.0995     1.11003  0.00102022
         318      1.1026     1.11001  0.00101728
         319     1.10308     1.10999  0.00101432
         320     1.13896     1.11008  0.00101519
         321     1.11238     1.11009  0.00101205
         322     1.12381     1.11013  0.00100981
         323     1.08593     1.11005  0.00100945
         324     1.10844     1.11005  0.00100635
         325      1.1225     1.11009  0.00100398
         326     1.12267     1.11013  0.00100165
         327     1.10229      1.1101 0.000998869
         328     1.08634     1.11003 0.000998447
         329     1.12286     1.11007 0.000996175
         330      1.0927     1.11002 0.000994546
         331     1.10028     1.10999 0.000991976
         332     1.08085      1.1099 0.000992862
         333     1.07615      1.1098 0.000995039
         334     1.12222     1.10983 0.000992755
         335      1.0759     1.10973 0.000994946
         336     1.11576     1.10975 0.000992146
         337     1.12883     1.10981 0.000990817
         338     1.10548     1.10979 0.000987968
         339     1.13784     1.10988 0.000988513
         340     1.10199     1.10985 0.000985877
         341     1.10049     1.10983 0.000983368
         342      1.1013      1.1098 0.000980809
         343     1.10541     1.10979 0.000978033
         344      1.1395     1.10988 0.000978995
         345     1.10326     1.10986 0.000976346
         346     1.10417     1.10984 0.000973662
         347     1.16233     1.10999 0.000982536
         348     1.14565     1.11009 0.000985042
         349     1.09403     1.11005 0.000983294
         350      1.1023     1.11003 0.000980734
         351     1.12116     1.11006 0.000978453
         352     1.11586     1.11007 0.000975812
         353     1.15597      1.1102 0.000981672
         354      1.0867     1.11014 0.000981142
         355     1.07762     1.11005 0.000982645
         356     1.09261        1.11 0.000981105
         357     1.13547     1.11007 0.000980947
         358     1.12323      1.1101 0.000978896
         359     1.12584     1.11015 0.000977151
         360     1.08418     1.11008 0.000977094
         361      1.1037     1.11006 0.000974547
         362     1.09363     1.11001 0.000972911
         363     1.10648        1.11  0.00097028
         364     1.12045     1.11003 0.000968039
         365     1.09309     1.10999 0.000966499
         366     1.13737     1.11006  0.00096675
         367     1.14104     1.11014 0.000967795
         368     1.08865     1.11009 0.000966927
         369     1.11647      1.1101 0.000964461
         370     1.12915     1.11016 0.000963227
         371     1.11331     1.11016 0.000960668
         372     1.10572     1.11015  0.00095816
         373     1.11882     1.11018 0.000955873
         374     1.11106     1.11018  0.00095332
         375     1.10586     1.11017 0.000950848
         376     1.10106     1.11014 0.000948627
         377     1.08803     1.11008 0.000947922
         378     1.13285     1.11014 0.000947326
         379     1.11514     1.11016 0.000944918
         380     1.08354     1.11009 0.000945024
         381     1.08875     1.11003 0.000944201
         382     1.12591     1.11007 0.000942645
         383     1.12328     1.11011 0.000940815
         384     1.08825     1.11005 0.000940085
         385     1.12838      1.1101 0.000938847
         386     1.12578     1.11014 0.000937294
         387     1.11478     1.11015 0.000934949
         388     1.14381     1.11024 0.000936554
         389     1.11067     1.11024 0.000934147
         390     1.10474     1.11022 0.000931858
         391     1.10087      1.1102 0.000929782
         392     1.11184      1.1102 0.000927419
         393     1.12204     1.11023 0.000925549
         394      1.1171     1.11025 0.000923363
         395     1.12632     1.11029 0.000921921
         396     1.09858     1.11026 0.000920068
         397     1.13189     1.11032 0.000919362
         398     1.11845     1.11034 0.000917279
         399     1.13179     1.11039 0.000916555
         400     1.09949     1.11036 0.000914669
         401     1.09895     1.11034 0.000912831
         402     1.08659     1.11028 0.000912468
         403     1.11949      1.1103 0.000910491
         404     1.12173     1.11033 0.000908677
         405     1.10137     1.11031 0.000906702
         406     1.13641     1.11037 0.000906745
         407     1.08287      1.1103  0.00090703
         408     1.12687     1.11034 0.000905716
         409     1.12122     1.11037 0.000903892
         410     1.10958     1.11037  0.00090169
         411     1.09203     1.11032 0.000900599
         412     1.11154     1.11033 0.000898418
         413     1.10378     1.11031 0.000896382
         414     1.06771     1.11021 0.000900103
         415     1.09147     1.11016 0.000899065
         416     1.09487     1.11013 0.000897655
         417     1.07143     1.11003 0.000900286
         418     1.10777     1.11003 0.000898149
         419     1.09758        1.11 0.000896496
         420     1.09632     1.10996 0.000894953
         421     1.11685     1.10998 0.000892976
         422     1.11126     1.10998 0.000890865
         423     1.10356     1.10997 0.000888889
         424     1.12308        1.11  0.00088733
         425      1.1195     1.11002 0.000885523
         426     1.12605     1.11006 0.000884244
         427     1.09634     1.11003 0.000882757
         428     1.08894     1.10998 0.000882069
         429     1.12067        1.11 0.000880365
         430     1.12853     1.11005 0.000879371
         431     1.10028     1.11002 0.000877623
         432     1.10818     1.11002 0.000875602
         433     1.10747     1.11001 0.000873599
         434     1.13249     1.11007 0.000873119
         435     1.10597     1.11006 0.000871163
         436     1.11388     1.11006 0.000869209
         437     1.11762     1.11008 0.000867392
         438     1.09234     1.11004 0.000866357
         439     1.11759     1.11006 0.000864554
         440     1.11448     1.11007 0.000862647
         441     1.09713     1.11004  0.00086119
         442     1.09403        1.11 0.000860003
         443     1.07844     1.10993 0.000861008
         444     1.13266     1.10998 0.000860588
         445     1.07771     1.10991 0.000861706
