#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         338     1.23608     1.24259  0.00146199
         339      1.2015     1.24246  0.00146269
         340     1.20875     1.24236  0.00146175
         341     1.21067     1.24227  0.00146042
         342     1.21562     1.24219  0.00145822
         343     1.27307     1.24228  0.00145675
         344     1.25759     1.24233  0.00145319
         345     1.24026     1.24232  0.00144899
         346     1.23198     1.24229  0.00144511
         347     1.21533     1.24221  0.00144304
         348     1.22944     1.24218  0.00143936
         349     1.24125     1.24218  0.00143524
         350     1.21982     1.24211  0.00143256
         351     1.22374     1.24206  0.00142943
         352     1.20411     1.24195  0.00142943
         353     1.20826     1.24186  0.00142856
         354     1.23173     1.24183  0.00142481
         355     1.25466     1.24186  0.00142126
         356     1.25096     1.24189  0.00141749
         357     1.22385     1.24184  0.00141442
         358     1.22836      1.2418  0.00141097
         359     1.22741     1.24176  0.00140761
         360     1.21642     1.24169  0.00140546
         361     1.25926     1.24174  0.00140241
         362     1.23703     1.24173   0.0013986
         363     1.23981     1.24172  0.00139475
         364     1.25289     1.24175  0.00139126
         365     1.24874     1.24177  0.00138758
         366     1.25365      1.2418  0.00138417
         367     1.25055     1.24183   0.0013806
         368     1.26737      1.2419  0.00137859
         369     1.25617     1.24194   0.0013754
         370     1.23271     1.24191  0.00137191
         371     1.23616     1.24189   0.0013683
         372     1.23766     1.24188  0.00136467
         373     1.25303     1.24191  0.00136134
         374     1.23945     1.24191  0.00135771
         375     1.25247     1.24193  0.00135438
         376     1.22024     1.24188  0.00135201
         377     1.22617     1.24184  0.00134907
         378     1.21123     1.24175  0.00134792
         379     1.21094     1.24167  0.00134682
         380     1.24016     1.24167  0.00134328
         381     1.25685     1.24171  0.00134034
         382     1.26173     1.24176  0.00133786
         383     1.30058     1.24191  0.00134315
         384     1.25082     1.24194  0.00133985
         385     1.22915      1.2419  0.00133678
         386      1.2309     1.24188  0.00133363
         387     1.22253     1.24183  0.00133112
         388     1.22865     1.24179  0.00132812
         389     1.22249     1.24174  0.00132563
         390     1.23448     1.24172  0.00132236
         391     1.21945     1.24167  0.00132021
         392     1.22698     1.24163  0.00131737
         393     1.23444     1.24161  0.00131415
         394     1.24661     1.24162  0.00131087
         395     1.27288      1.2417  0.00130994
         396     1.25347     1.24173  0.00130697
         397     1.27108     1.24181  0.00130576
         398     1.26076     1.24185  0.00130335
         399     1.27056     1.24193  0.00130207
         400     1.26051     1.24197  0.00129964
         401      1.2046     1.24188  0.00129974
         402     1.22928     1.24185  0.00129688
         403     1.24823     1.24186  0.00129376
         404     1.25864     1.24191  0.00129123
         405      1.2429     1.24191  0.00128804
         406     1.22218     1.24186  0.00128578
         407     1.22619     1.24182   0.0012832
         408      1.2393     1.24181  0.00128007
         409     1.25016     1.24184   0.0012771
         410     1.22313     1.24179   0.0012748
         411     1.23444     1.24177  0.00127183
         412     1.21006     1.24169  0.00127107
         413     1.26098     1.24174  0.00126885
         414     1.26759      1.2418  0.00126732
         415     1.23655     1.24179  0.00126433
         416     1.20561      1.2417  0.00126428
         417     1.20416     1.24161  0.00126445
         418     1.20461     1.24153  0.00126452
         419     1.23291     1.24151  0.00126167
         420     1.22533     1.24147  0.00125925
         421     1.23293     1.24145  0.00125642
         422     1.23572     1.24143  0.00125352
         423      1.2369     1.24142   0.0012506
         424        1.22     1.24137  0.00124867
         425     1.22843     1.24134   0.0012461
         426     1.22405      1.2413  0.00124384
         427      1.2492     1.24132  0.00124106
         428     1.23697     1.24131  0.00123821
         429       1.251     1.24133  0.00123553
         430     1.28958     1.24144  0.00123774
         431     1.24193     1.24144  0.00123487
         432     1.25251     1.24147  0.00123227
         433      1.2694     1.24153  0.00123111
         434     1.25746     1.24157  0.00122882
         435     1.31012     1.24173  0.00123606
         436     1.27053      1.2418  0.00123499
         437     1.26162     1.24184    0.001233
         438     1.26512     1.24189  0.00123133
         439      1.2265     1.24186  0.00122902
         440     1.24839     1.24187  0.00122632
         441     1.27081     1.24194  0.00122529
         442     1.25135     1.24196   0.0012227
         443     1.22551     1.24192  0.00122051
         444     1.22662     1.24189  0.00121824
         445      1.2338     1.24187  0.00121564
         446      1.2361     1.24186  0.00121299
         447     1.19547     1.24175   0.0012147
         448     1.21787      1.2417  0.00121316
         449     1.24225      1.2417  0.00121046
         450     1.26246     1.24175  0.00120865
         451     1.27631     1.24182   0.0012084
         452     1.25598     1.24186  0.00120613
         453     1.24968     1.24187  0.00120359
         454     1.28008     1.24196  0.00120388
         455     1.28302     1.24205  0.00120461
         456     1.25547     1.24208  0.00120233
         457       1.232     1.24206   0.0011999
         458     1.24355     1.24206  0.00119728
         459     1.25236     1.24208  0.00119488
         460      1.2738     1.24215  0.00119427
         461     1.27585     1.24222  0.00119392
         462     1.25736     1.24226  0.00119178
         463     1.23652     1.24224  0.00118927
         464     1.20339     1.24216  0.00118966
         465     1.21307      1.2421  0.00118874
         466     1.22047     1.24205  0.00118709
         467       1.239     1.24204  0.00118457
         468     1.24623     1.24205  0.00118207
         469     1.22291     1.24201  0.00118026
         470     1.22059     1.24197  0.00117863
         471     1.21655     1.24191  0.00117736
         472     1.24738     1.24192  0.00117492
         473     1.23291     1.24191  0.00117259
