#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         281    -11.0772    -8.80496   0.0632439
         282    -12.4954    -8.81805   0.0643594
         283    -10.5048    -8.82401   0.0644074
         284    -10.7505    -8.83079   0.0645368
         285    -9.85353    -8.83438     0.06441
         286    -9.34276    -8.83615   0.0642093
         287     -9.7179    -8.83923   0.0640591
         288    -10.0746    -8.84352   0.0639801
         289    -10.4866     -8.8492   0.0640108
         290    -10.1823     -8.8538   0.0639549
         291    -8.73918     -8.8534   0.0637364
         292    -8.07548    -8.85074   0.0635737
         293    -9.40902    -8.85265   0.0633853
         294    -9.30564    -8.85419   0.0631884
         295    -9.47804     -8.8563   0.0630096
         296    -9.40742    -8.85816   0.0628243
         297    -9.77886    -8.86126   0.0626892
         298    -7.95462    -8.85822   0.0625526
         299    -7.35054    -8.85318   0.0625463
         300    -7.96055     -8.8502   0.0624085
         301    -9.66419    -8.85291   0.0622598
         302    -9.25325    -8.85423   0.0620677
         303    -7.76943    -8.85065    0.061966
         304    -8.31077    -8.84888   0.0617876
         305    -9.72318    -8.85174   0.0616515
         306    -8.71199    -8.85129   0.0614517
         307    -9.64354    -8.85387   0.0613057
         308    -10.2205     -8.8583   0.0612671
         309     -10.322    -8.86304   0.0612516
         310    -7.81459    -8.85966   0.0611473
         311    -7.42509    -8.85505   0.0611245
         312    -8.62354     -8.8543   0.0609331
         313    -8.88168    -8.85439   0.0607384
         314     -9.0186    -8.85492   0.0605473
         315    -9.65255    -8.85745    0.060408
         316    -9.64763    -8.85995   0.0602685
         317    -9.04686    -8.86054   0.0600813
         318    -9.19651    -8.86159   0.0599017
         319    -9.12666    -8.86242   0.0597196
         320    -7.66338    -8.85868   0.0596504
         321     -7.6385    -8.85488   0.0595856
         322    -8.66183    -8.85428   0.0594036
         323    -8.15193     -8.8521   0.0592595
         324    -8.98188     -8.8525   0.0590779
         325    -9.64344    -8.85494   0.0589462
         326    -9.55723    -8.85709   0.0588048
         327    -8.28682    -8.85535   0.0586508
         328    -8.37874    -8.85389     0.05849
         329    -8.62206    -8.85319   0.0583164
         330    -8.61338    -8.85246   0.0581442
         331    -9.69992    -8.85502   0.0580249
         332    -8.31622     -8.8534   0.0578728
         333    -7.61897    -8.84969   0.0578177
         334    -9.17124    -8.85066   0.0576526
         335    -9.49884    -8.85259   0.0575129
